province,province_folder,kabupaten,year,tmax_annual,tmin_annual,tmean_annual,ppt_annual,ppt_std,credit_score
Aceh,aceh,KAB. ACEH BARAT,2021,29.06,20.57,24.81,1075.2,80.86,626
Aceh,aceh,KAB. ACEH BARAT,2022,29.38,20.93,25.15,1112.0,80.09,596
Aceh,aceh,KAB. ACEH BARAT,2023,29.76,21.19,25.48,1138.2,69.84,612
Aceh,aceh,KAB. ACEH BARAT,2024,29.72,21.21,25.46,1112.7,92.9,611
Aceh,aceh,KAB. ACEH BARAT,2025,29.12,20.52,24.82,936.4,87.49,636
Aceh,aceh,KAB. ACEH BARAT DAYA,2021,28.53,20.14,24.33,1005.3,75.85,640
Aceh,aceh,KAB. ACEH BARAT DAYA,2022,28.17,19.96,24.06,1017.7,105.59,612
Aceh,aceh,KAB. ACEH BARAT DAYA,2023,28.86,20.47,24.67,1082.2,55.51,652
Aceh,aceh,KAB. ACEH BARAT DAYA,2024,29.18,20.77,24.98,1158.6,82.62,614
Aceh,aceh,KAB. ACEH BARAT DAYA,2025,29.18,20.57,24.88,1041.4,108.99,588
Aceh,aceh,KAB. ACEH BESAR,2021,28.51,20.13,24.32,1234.5,70.94,630
Aceh,aceh,KAB. ACEH BESAR,2022,28.09,19.9,23.99,1196.5,65.29,663
Aceh,aceh,KAB. ACEH BESAR,2023,29.08,20.64,24.86,920.0,56.96,633
Aceh,aceh,KAB. ACEH BESAR,2024,29.55,21.07,25.31,1208.8,102.45,605
Aceh,aceh,KAB. ACEH BESAR,2025,28.94,20.37,24.65,1065.4,91.19,642
Aceh,aceh,KAB. ACEH JAYA,2021,28.45,20.08,24.26,1049.4,87.0,605
Aceh,aceh,KAB. ACEH JAYA,2022,28.79,20.46,24.62,989.6,88.46,602
Aceh,aceh,KAB. ACEH JAYA,2023,28.78,20.4,24.59,1022.6,86.06,598
Aceh,aceh,KAB. ACEH JAYA,2024,29.96,21.4,25.68,1224.3,87.29,611
Aceh,aceh,KAB. ACEH JAYA,2025,28.84,20.3,24.57,1116.0,128.0,606
Aceh,aceh,KAB. ACEH SELATAN,2021,28.57,20.18,24.37,1071.4,54.55,662
Aceh,aceh,KAB. ACEH SELATAN,2022,28.02,19.84,23.93,1195.7,103.95,629
Aceh,aceh,KAB. ACEH SELATAN,2023,28.94,20.53,24.73,1157.0,82.31,616
Aceh,aceh,KAB. ACEH SELATAN,2024,29.13,20.73,24.93,1178.7,122.95,602
Aceh,aceh,KAB. ACEH SELATAN,2025,28.98,20.4,24.69,1214.6,74.07,626
Aceh,aceh,KAB. ACEH SINGKIL,2021,29.22,20.7,24.96,1093.3,66.66,599
Aceh,aceh,KAB. ACEH SINGKIL,2022,28.67,20.36,24.51,971.7,80.31,667
Aceh,aceh,KAB. ACEH SINGKIL,2023,29.15,20.7,24.93,1195.0,69.11,632
Aceh,aceh,KAB. ACEH SINGKIL,2024,29.04,20.67,24.86,1109.6,113.61,610
Aceh,aceh,KAB. ACEH SINGKIL,2025,29.16,20.55,24.85,1047.1,121.06,611
Aceh,aceh,KAB. ACEH TAMIANG,2021,28.86,20.41,24.63,1163.8,60.61,643
Aceh,aceh,KAB. ACEH TAMIANG,2022,28.46,20.19,24.32,1099.3,61.65,635
Aceh,aceh,KAB. ACEH TAMIANG,2023,29.12,20.68,24.9,1097.7,76.96,612
Aceh,aceh,KAB. ACEH TAMIANG,2024,29.33,20.9,25.11,1036.5,93.57,620
Aceh,aceh,KAB. ACEH TAMIANG,2025,28.82,20.28,24.55,1025.3,110.94,617
Aceh,aceh,KAB. ACEH TENGAH,2021,29.01,20.53,24.77,1237.2,73.76,612
Aceh,aceh,KAB. ACEH TENGAH,2022,28.75,20.42,24.59,1124.7,54.82,657
Aceh,aceh,KAB. ACEH TENGAH,2023,28.96,20.55,24.75,1081.6,113.83,612
Aceh,aceh,KAB. ACEH TENGAH,2024,29.35,20.91,25.13,1173.9,99.36,620
Aceh,aceh,KAB. ACEH TENGAH,2025,28.41,19.95,24.18,1180.9,124.64,632
Aceh,aceh,KAB. ACEH TENGGARA,2021,29.2,20.68,24.94,1013.5,92.18,614
Aceh,aceh,KAB. ACEH TENGGARA,2022,27.92,19.76,23.84,1177.6,116.46,626
Aceh,aceh,KAB. ACEH TENGGARA,2023,28.48,20.16,24.32,1031.5,78.38,642
Aceh,aceh,KAB. ACEH TENGGARA,2024,29.2,20.79,24.99,1025.7,100.91,599
Aceh,aceh,KAB. ACEH TENGGARA,2025,28.46,19.99,24.23,1127.4,99.57,622
Aceh,aceh,KAB. ACEH TIMUR,2021,29.58,20.99,25.28,1023.6,66.31,621
Aceh,aceh,KAB. ACEH TIMUR,2022,29.03,20.64,24.84,1032.2,87.01,604
Aceh,aceh,KAB. ACEH TIMUR,2023,29.63,21.08,25.35,948.2,79.65,648
Aceh,aceh,KAB. ACEH TIMUR,2024,29.58,21.1,25.34,1212.3,81.33,592
Aceh,aceh,KAB. ACEH TIMUR,2025,28.33,19.89,24.11,1131.2,117.82,596
Aceh,aceh,KAB. ACEH UTARA,2021,28.93,20.47,24.7,1114.0,60.94,651
Aceh,aceh,KAB. ACEH UTARA,2022,28.74,20.41,24.57,1154.1,72.89,639
Aceh,aceh,KAB. ACEH UTARA,2023,29.91,21.31,25.61,1114.7,59.01,602
Aceh,aceh,KAB. ACEH UTARA,2024,29.78,21.25,25.52,1071.8,111.69,606
Aceh,aceh,KAB. ACEH UTARA,2025,29.57,20.88,25.23,1023.8,127.81,615
Aceh,aceh,KAB. BENER MERIAH,2021,29.01,20.53,24.77,1152.1,99.59,613
Aceh,aceh,KAB. BENER MERIAH,2022,28.5,20.22,24.36,1070.4,70.26,672
Aceh,aceh,KAB. BENER MERIAH,2023,28.57,20.23,24.4,1070.6,82.0,601
Aceh,aceh,KAB. BENER MERIAH,2024,29.59,21.1,25.34,1215.9,100.08,615
